,name,latitude,longitude
0,4 Bunglows,19.1247,72.8264
1,Aarey Milk Colony,19.151,72.8831
2,Abhyudaya Nagar,18.9914,72.8442
3,Adaigaon,19.0086,73.1282
4,Adharwadi,19.257,73.124
5,Agashi,19.4604,72.7747
6,Airoli,19.159,72.9986
7,Akurli Nagar,19.1997,72.8589
8,Alika Nagar,19.198,72.8707
9,Ambawadi,19.2411,72.86
10,Ambedkar Nagar,19.073,72.8789
11,Ambernath,19.1825,73.1926
12,Ambernath East,19.2075,73.1853
13,Ambernath West,19.1825,73.1926
14,Ambivali,19.2651,73.1724
15,Ambivli,19.2651,73.1724
16,Amboli,19.1258,72.8448
17,Amrut Nagar,19.1021,72.9128
18,Anand Nagar,19.2557,72.8656
19,Andheri (East),19.1179,72.8631
20,Andheri (West),19.1364,72.8296
21,Anjurdive,19.2298,73.0349
22,Asangaon,19.4392,73.2998
23,Asara Colony,19.2265,72.8571
24,Asha Nagar,19.214,72.8656
25,Atgaon,19.5042,73.3252
26,Azad Nagar,19.1292,72.836
27,Babhai,19.2265,72.8464
28,Badlapur,19.1668,73.2368
29,Badlapur (East),19.2629,73.1388
30,Badlapur (West),19.1762,73.2401
31,Balkum,19.2153,72.9918
32,Bandra (East),19.0609,72.8465
33,Bandra (West),19.0596,72.8295
34,Bandra Kurla Complex,19.0688,72.8703
35,Belapur,19.0237,73.0404
36,Belavali,19.1777,73.2268
37,Belpada,19.0395,73.0576
38,Bevarly Park,19.0976,73.0003
39,Bhagat Colony,19.2001,72.8405
40,Bhakti Park,19.0292,72.8796
41,Bhandup (East),19.1503,72.9491
42,Bhandup (West),19.1624,72.9376
43,Bhayander (East),19.3043,72.859
44,Bhayander (West),19.3008,72.8467
46,Bhiwandi,19.2813,73.0483
47,Boisar,19.7969,72.7452
48,Bolinj,19.4423,72.7954
49,Borivali (East),19.2298,72.8609
50,Borivali (West),19.2381,72.8523
51,Brahmand,19.2458,72.98
52,Breach Candy,18.9746,72.8065
53,Budhaji Nagar,19.192,72.9889
54,Byculla,18.975,72.8295
55,Byculla East,18.9822,72.8383
56,Byculla West,18.9761,72.8312
57,Cama Industrial Estate,19.1568,72.8538
58,Chakala,19.1098,72.8583
59,Chamundeshwari Nagar,18.9163,72.8196
60,Chanakya Nagar,19.2658,73.1305
61,Chandan Shanti,19.2874,72.8737
62,Chandivali,19.1075,72.9018
63,Charai,19.1985,72.9748
64,Charkop,19.21,72.8183
65,Chembur,19.0522,72.9005
66,Chembur (East),19.0522,72.9005
67,Chembur (West),19.0673,72.9018
68,Chikan Ghar,19.2468,73.1423
69,Chikhal Dongari,19.4845,72.7866
70,Chikholi,19.076,72.8777
71,Chikuwadi,19.2215,72.839
72,Chincholi Bunder,19.1791,72.8414
73,Churchgate,18.9322,72.8264
74,Churi Wadi,19.1682,72.8523
75,Colaba,18.9067,72.8147
76,Collectors Colony Chembur,19.0446,72.8914
77,Cuffe Parade,18.9127,72.8213
78,Dadar,19.0178,72.8478
79,Dadar (East),19.0099,72.8427
80,Dadar (West),19.0236,72.8378
81,Dahanukar Wadi,19.2085,72.8375
82,Dahisar,19.4946,72.8604
83,Dahisar (East),19.2575,72.865
84,Dahisar (West),19.2547,72.8539
85,Dattapada,19.2222,72.8584
86,Daulat Nagar,19.2366,72.8611
87,Deonar,19.0447,72.9103
88,Desale Pada,19.1926,73.0863
89,Devad,18.9921,73.1342
90,Devicha Pada,19.2317,73.0827
91,Devipada,19.2242,72.8671
92,Dhobi Ali,19.1985,72.9748
93,Dhokali,19.2288,72.983
94,Dina Bama Estate,19.1434,72.9374
95,Dindoshi,19.1762,72.8617
96,Diva Gaon,19.1869,73.0478
97,DN Nagar,19.1229,72.8301
98,Dokali Pada,19.2293,72.9807
99,Dombivli (East),19.2161,73.09899999999998
100,Dombivli (West),19.2189,73.0807
101,Dongarpada,19.4709,72.8087
102,Dronagiri,18.8812,72.9645
103,Eksar,19.245,72.8368
104,Ekta Nagar,19.1843,72.8371
105,Evershine Nagar,19.1919,72.832
106,Film City Road,19.076,72.8777
107,G B Road,19.2635,72.9741
108,Gamdevi,18.9589,72.8124
