,sub_city,place,price_range,q/q,1BHK,2BHK,3BHK,price_lower_limit,price_upper_limit,1BHK_rental_lower_limit,1BHK_rental_higher_limit,2BHK_rental_lower_limit,2BHK_rental_higher_limit,3BHK_rental_lower_limit,3BHK_rental_higher_limit,Avg_price,Avg_1BHK_rental,Avg_2BHK_rental,Avg_3BHK_rental
0,Mumbai Thane,Anand Nagar,"Rs. 7,735 - 8,628/sq. ft.",1.03,"Rs. 10,566 - 12,486","Rs. 15,300 - 18,360 ","Rs. 19,890 - 24,310",7735,8628,10566,12486,15300,18360,19890,24310,8181.5,11526.0,16830.0,22100.0
1,Mumbai Thane,Ashok Nagar,"Rs. 8,840 - 10,242/sq. ft.",0.0,-,"Rs. 18,553 - 20,973 ",-,8840,10242,0,0,18553,20973,0,0,9541.0,0.0,19763.0,0.0
2,Mumbai Thane,Balkum,"Rs. 8,755 - 9,988/sq. ft.",2.24,"Rs. 12,928 - 15,415","Rs. 17,850 - 20,825 ","Rs. 25,517 - 29,345",8755,9988,12928,15415,17850,20825,25517,29345,9371.5,14171.5,19337.5,27431.0
3,Mumbai Thane,Balkum Pada,"Rs. 8,542 - 9,095/sq. ft.",0.48,"Rs. 10,846 - 14,297","Rs. 13,728 - 19,508 ",-,8542,9095,10846,14297,13728,19508,0,0,8818.5,12571.5,16618.0,0.0
4,Mumbai Thane,Bhaskar Colony,"Rs. 13,940 - 15,555/sq. ft.",0.0,-,- ,-,13940,15555,0,0,0,0,0,0,14747.5,0.0,0.0,0.0
5,Mumbai Thane,Bhayandarpada,"Rs. 7,012 - 7,905/sq. ft.",0.0,-,"Rs. 13,600 - 15,300 ",-,7012,7905,0,0,13600,15300,0,0,7458.5,0.0,14450.0,0.0
6,Mumbai Thane,Brahmand,"Rs. 8,415 - 9,308/sq. ft.",0.0,"Rs. 12,243 - 12,714","Rs. 16,830 - 19,890 ",-,8415,9308,12243,12714,16830,19890,0,0,8861.5,12478.5,18360.0,0.0
7,Mumbai Thane,Budhaji Nagar,"Rs. 7,268 - 8,202/sq. ft.",3.63,-,- ,-,7268,8202,0,0,0,0,0,0,7735.0,0.0,0.0,0.0
8,Mumbai Thane,Charai,"Rs. 10,158 - 12,155/sq. ft.",4.26,"Rs. 13,260 - 14,586",- ,-,10158,12155,13260,14586,0,0,0,0,11156.5,13923.0,0.0,0.0
9,Mumbai Thane,Chirak Nagar,"Rs. 10,455 - 11,688/sq. ft.",0.38,"Rs. 17,629 - 20,222","Rs. 20,196 - 22,889 ",-,10455,11688,17629,20222,20196,22889,0,0,11071.5,18925.5,21542.5,0.0
10,Mumbai Thane,Damoji Patil Wadi,"Rs. 13,260 - 13,812/sq. ft.",0.62,"Rs. 17,748 - 18,734",- ,-,13260,13812,17748,18734,0,0,0,0,13536.0,18241.0,0.0,0.0
11,Mumbai Thane,Devdaya Nagar,"Rs. 11,900 - 14,280/sq. ft.",0.0,"Rs. 12,967 - 14,408","Rs. 21,250 - 25,500 ",-,11900,14280,12967,14408,21250,25500,0,0,13090.0,13687.5,23375.0,0.0
12,Mumbai Thane,Dhobi Ali,"Rs. 9,605 - 12,155/sq. ft.",3.63,-,- ,-,9605,12155,0,0,0,0,0,0,10880.0,0.0,0.0,0.0
13,Mumbai Thane,Dhokali,"Rs. 8,968 - 9,988/sq. ft.",0.0,"Rs. 13,311 - 15,283","Rs. 19,125 - 20,655 ","Rs. 23,375 - 27,625",8968,9988,13311,15283,19125,20655,23375,27625,9478.0,14297.0,19890.0,25500.0
14,Mumbai Thane,Diva Gaon,"Rs. 2,422 - 3,272/sq. ft.",0.0,"Rs. 3,536 - 4,420",- ,-,2422,3272,3536,4420,0,0,0,0,2847.0,3978.0,0.0,0.0
15,Mumbai Thane,Dokali Pada,"Rs. 8,798 - 9,818/sq. ft.",0.47,"Rs. 13,196 - 15,640","Rs. 17,790 - 20,884 ",-,8798,9818,13196,15640,17790,20884,0,0,9308.0,14418.0,19337.0,0.0
16,Mumbai Thane,Eden Wood,"Rs. 10,582 - 11,560/sq. ft.",0.0,-,"Rs. 19,614 - 23,536 ",-,10582,11560,0,0,19614,23536,0,0,11071.0,0.0,21575.0,0.0
17,Mumbai Thane,Ganeshwadi,"Rs. 7,905 - 8,585/sq. ft.",0.0,-,- ,-,7905,8585,0,0,0,0,0,0,8245.0,0.0,0.0,0.0
18,Mumbai Thane,Gawand Baug,"Rs. 9,478 - 10,115/sq. ft.",1.36,"Rs. 14,875 - 16,660","Rs. 20,188 - 22,610 ",-,9478,10115,14875,16660,20188,22610,0,0,9796.5,15767.5,21399.0,0.0
19,Mumbai Thane,G B Road,"Rs. 7,522 - 8,670/sq. ft.",1.6,"Rs. 9,996 - 12,852","Rs. 14,858 - 17,986 ",-,7522,8670,9996,12852,14858,17986,0,0,8096.0,11424.0,16422.0,0.0
20,Mumbai Thane,Ghodbunder Road,"Rs. 8,202 - 10,328/sq. ft.",0.47,"Rs. 11,495 - 15,494","Rs. 17,298 - 22,015 ","Rs. 27,272 - 34,387",8202,10328,11495,15494,17298,22015,27272,34387,9265.0,13494.5,19656.5,30829.5
21,Mumbai Thane,Hari Om Nagar,"Rs. 13,260 - 13,812/sq. ft.",0.62,"Rs. 17,748 - 18,734",- ,-,13260,13812,17748,18734,0,0,0,0,13536.0,18241.0,0.0,0.0
22,Mumbai Thane,Hiranandani Estate,"Rs. 10,710 - 12,750/sq. ft.",0.36,"Rs. 16,550 - 18,556","Rs. 22,974 - 26,143 ","Rs. 35,572 - 39,525",10710,12750,16550,18556,22974,26143,35572,39525,11730.0,17553.0,24558.5,37548.5
23,Mumbai Thane,Hiranandani Meadows,"Rs. 14,492 - 16,575/sq. ft.",3.75,-,"Rs. 24,735 - 28,858 ","Rs. 39,525 - 43,350",14492,16575,0,0,24735,28858,39525,43350,15533.5,0.0,26796.5,41437.5
24,Mumbai Thane,Jambli Naka,"Rs. 10,200 - 12,112/sq. ft.",0.0,-,- ,-,10200,12112,0,0,0,0,0,0,11156.0,0.0,0.0,0.0
25,Mumbai Thane,JK Gram,"Rs. 12,070 - 12,410/sq. ft.",0.34,-,- ,-,12070,12410,0,0,0,0,0,0,12240.0,0.0,0.0,0.0
26,Mumbai Thane,Kailash Nagar,"Rs. 9,095 - 9,818/sq. ft.",2.31,-,"Rs. 19,125 - 21,420 ",-,9095,9818,0,0,19125,21420,0,0,9456.5,0.0,20272.5,0.0
27,Mumbai Thane,Kalher,"Rs. 3,230 - 3,740/sq. ft.",2.44,"Rs. 4,462 - 5,355","Rs. 5,018 - 6,273 ",-,3230,3740,4462,5355,5018,6273,0,0,3485.0,4908.5,5645.5,0.0
28,Mumbai Thane,Kalwa,"Rs. 7,608 - 8,755/sq. ft.",2.02,"Rs. 10,752 - 12,219","Rs. 15,011 - 17,263 ","Rs. 19,125 - 21,038",7608,8755,10752,12219,15011,17263,19125,21038,8181.5,11485.5,16137.0,20081.5
29,Mumbai Thane,Kapurbawadi,"Rs. 9,945 - 11,348/sq. ft.",2.75,"Rs. 14,470 - 16,021",- ,"Rs. 26,373 - 30,960",9945,11348,14470,16021,0,0,26373,30960,10646.5,15245.5,0.0,28666.5
30,Mumbai Thane,Kasar Vadavali,"Rs. 7,352 - 8,330/sq. ft.",0.54,"Rs. 10,353 - 11,832","Rs. 14,115 - 16,344 ","Rs. 19,380 - 22,440",7352,8330,10353,11832,14115,16344,19380,22440,7841.0,11092.5,15229.5,20910.0
31,Mumbai Thane,Kasheli,"Rs. 3,612 - 4,165/sq. ft.",2.15,"Rs. 5,661 - 6,133",- ,-,3612,4165,5661,6133,0,0,0,0,3888.5,5897.0,0.0,0.0
32,Mumbai Thane,Kavesar,"Rs. 8,372 - 9,520/sq. ft.",1.97,"Rs. 12,158 - 13,172","Rs. 17,850 - 20,400 ","Rs. 27,685 - 32,959",8372,9520,12158,13172,17850,20400,27685,32959,8946.0,12665.0,19125.0,30322.0
33,Mumbai Thane,Kharkar Alley,"Rs. 9,095 - 11,348/sq. ft.",0.0,-,- ,-,9095,11348,0,0,0,0,0,0,10221.5,0.0,0.0,0.0
34,Mumbai Thane,Khopat,"Rs. 10,880 - 12,665/sq. ft.",2.56,"Rs. 16,048 - 17,552","Rs. 22,872 - 25,085 ",-,10880,12665,16048,17552,22872,25085,0,0,11772.5,16800.0,23978.5,0.0
35,Mumbai Thane,Kisan Nagar,"Rs. 5,015 - 5,822/sq. ft.",2.36,"Rs. 8,113 - 8,819",- ,-,5015,5822,8113,8819,0,0,0,0,5418.5,8466.0,0.0,0.0
36,Mumbai Thane,Kolbad Road,"Rs. 10,625 - 11,645/sq. ft.",1.15,-,- ,-,10625,11645,0,0,0,0,0,0,11135.0,0.0,0.0,0.0
37,Mumbai Thane,Kolshet,"Rs. 9,392 - 10,285/sq. ft.",0.86,-,"Rs. 16,813 - 19,006 ",-,9392,10285,0,0,16813,19006,0,0,9838.5,0.0,17909.5,0.0
38,Mumbai Thane,Kolshet Industrial Area,"Rs. 8,288 - 12,112/sq. ft.",12.67,-,- ,-,8288,12112,0,0,0,0,0,0,10200.0,0.0,0.0,0.0
