,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,4 Bunglows,19.1247,72.8264,Pishu's  Juice Center,19.128122133844734,72.82538392218632,Juice Bar
1,4 Bunglows,19.1247,72.8264,Joey's Pizza,19.126762155150107,72.83000121236746,Pizza Place
2,4 Bunglows,19.1247,72.8264,Banana Leaf,19.12515498243111,72.82258041206991,Vegetarian / Vegan Restaurant
3,4 Bunglows,19.1247,72.8264,Di Bella,19.125454233244547,72.8223460003714,Café
4,4 Bunglows,19.1247,72.8264,Manish Nagar,19.127750202335694,72.82759472143277,Residential Building (Apartment / Condo)
5,4 Bunglows,19.1247,72.8264,Debonairs Pizza,19.12555705959572,72.82244078771572,Pizza Place
6,4 Bunglows,19.1247,72.8264,Mad Over Donuts,19.125533442429646,72.82228098165848,Donut Shop
7,4 Bunglows,19.1247,72.8264,Tirumala Store,19.12881610452249,72.82761917972147,Women's Store
8,4 Bunglows,19.1247,72.8264,Four Bungalows Fish market,19.12673513621366,72.8251597474126,Fish Market
9,4 Bunglows,19.1247,72.8264,Renaissance Federation Club,19.123643619939468,72.82191190685998,Bar
10,4 Bunglows,19.1247,72.8264,Nom Nom,19.12538702410522,72.82241115703415,Japanese Restaurant
11,4 Bunglows,19.1247,72.8264,Quarter Deck,19.128412,72.82458,Bar
12,4 Bunglows,19.1247,72.8264,Four Bungalows Market,19.128324177079914,72.82540786198986,Market
13,4 Bunglows,19.1247,72.8264,Zaf Club,19.12108776831189,72.82665448728034,Gym
14,4 Bunglows,19.1247,72.8264,YMCA,19.12127157678746,72.82760626153619,Sports Club
15,4 Bunglows,19.1247,72.8264,Spice Cottage,19.124201183423352,72.83019123095592,Restaurant
16,4 Bunglows,19.1247,72.8264,Garages- Juhu Versova Link Road,19.125456179516625,72.82230968803307,Auto Workshop
17,4 Bunglows,19.1247,72.8264,D.N. Nagar,19.124282221335005,72.83099325831303,Arts & Entertainment
18,4 Bunglows,19.1247,72.8264,Ericsson N Blackberry Service center,19.122289087809722,72.83000659119105,Electronics Store
19,Aarey Milk Colony,19.151,72.8831,BeFit,19.153570364097853,72.88570431398188,Gym / Fitness Center
20,Aarey Milk Colony,19.151,72.8831,Piccadilly 1 Royal Palms,19.154131522012374,72.88508360435286,Hotel
21,Aarey Milk Colony,19.151,72.8831,Creative Junkies,19.153265,72.88669,Film Studio
22,Abhyudaya Nagar,18.9914,72.8442,Birdy's - Online Cake Delivery Parel,18.994324802956562,72.84385085105896,Bakery
23,Abhyudaya Nagar,18.9914,72.8442,Shirsagar Hotel - Malwani Joint,18.990919,72.840298,Indian Restaurant
24,Abhyudaya Nagar,18.9914,72.8442,SEPHORA,18.994795687030955,72.84619088932298,Cosmetics Shop
25,Adarsh Nagar,19.0147,72.8216,Starbucks Coffee: A Tata Alliance,19.012850878278595,72.82388641753305,Coffee Shop
26,Adarsh Nagar,19.0147,72.8216,The Baker's Dozen Prabhadevi,19.01256873996749,72.82527603726814,Bakery
27,Adarsh Nagar,19.0147,72.8216,Snack in the box,19.01292767710536,72.82596179129949,Bakery
28,Adarsh Nagar,19.0147,72.8216,Adarsh Nagar,19.01542357302025,72.82308249920645,Flea Market
29,Adarsh Nagar,19.0147,72.8216,Cafe Coffee Day,19.013105237523757,72.82428268921284,Café
30,Adarsh Nagar,19.0147,72.8216,Cool Chef Café,19.01700205321489,72.81754436664666,Café
31,Adarsh Nagar,19.0147,72.8216,China Valley,19.012652046865274,72.82514618763528,Chinese Restaurant
32,Adarsh Nagar,19.0147,72.8216,"Century Bazaar, Worli",19.0127363416952,72.82394886016846,Scenic Lookout
33,Adarsh Nagar,19.0147,72.8216,Quick Bite,19.01284956405831,72.82573675766896,Food
34,Adharwadi,19.257,73.124,Wayle Sports Club,19.258966028337397,73.12067187307606,Sports Club
35,Agashi,19.4604,72.7747,Agashi Bhujing Centre,19.462137108844725,72.77359778909977,Indian Restaurant
36,Agashi,19.4604,72.7747,Gymkhana Wines,19.462064604788516,72.77361571484865,Wine Shop
37,Agashi,19.4604,72.7747,Ganesh Vada Center,19.458014,72.77637,Breakfast Spot
38,Agashi,19.4604,72.7747,Vijay Vada Centre,19.46285,72.7764,Food Stand
39,Agashi,19.4604,72.7747,Vartak's Fitness Planet,19.46385011907697,72.7751047108382,Gym
40,Agashi,19.4604,72.7747,Chinchecha Zaad,19.463881572841053,72.7751393385452,Tree
41,Agashi,19.4604,72.7747,Agashi Lake,19.46251818902892,72.77826735472595,Lake
42,Agripada,19.036809899999998,73.0158234,Patiala Pegg,19.034658649065864,73.01710587337432,Diner
43,Agripada,19.036809899999998,73.0158234,Bikaner Snacks,19.033956443090847,73.01942899101422,Fast Food Restaurant
44,Agripada,19.036809899999998,73.0158234,Dwarka Veg Restaurant,19.03317335561601,73.01745533310402,Indian Restaurant
45,Agripada,19.036809899999998,73.0158234,Nerul Railway Station,19.033275735192095,73.01796913146973,Train Station
46,Agripada,19.036809899999998,73.0158234,pm 2 am,19.033062091505947,73.01594203947849,Diner
47,Agripada,19.036809899999998,73.0158234,Monginis Cake Shop,19.033045359248373,73.01659930614836,Bakery
48,Agripada,19.036809899999998,73.0158234,A1 Bhelpuri And Icecream Snacks,19.037572309805196,73.01994326585965,Dessert Shop
49,Airoli,19.159000000000002,72.9986,Priyanka Veg Restaurant,19.16061727757987,72.99852956655108,Vegetarian / Vegan Restaurant
50,Airoli,19.159000000000002,72.9986,Airoli Bus Depot,19.156526311986326,72.99818937622503,Bus Station
51,Airoli,19.159000000000002,72.9986,Falcon Gym airoli,19.160541385253158,72.9954298924128,Gym
52,Airoli,19.159000000000002,72.9986,airoli platform no 2,19.162382479262,72.9999018547268,Platform
53,Akurli Nagar,19.1997,72.8589,Mainland China,19.203141123552722,72.86008426572094,Chinese Restaurant
54,Akurli Nagar,19.1997,72.8589,Zaffran,19.20318259577957,72.8598149907927,Indian Restaurant
55,Akurli Nagar,19.1997,72.8589,KFC,19.203167746629013,72.85998121535812,Fast Food Restaurant
56,Akurli Nagar,19.1997,72.8589,Cafe Coffee Day,19.203165105625274,72.86002025418507,Café
57,Akurli Nagar,19.1997,72.8589,Subway,19.201529889750162,72.86126064679571,Sandwich Place
58,Akurli Nagar,19.1997,72.8589,Cinemax,19.20256125355022,72.86058564323234,Multiplex
59,Akurli Nagar,19.1997,72.8589,Growel's 101,19.202952128164252,72.86045295000298,Shopping Mall
60,Akurli Nagar,19.1997,72.8589,Pizza Hut,19.20313262939453,72.85986328125,Pizza Place
61,Akurli Nagar,19.1997,72.8589,V K Snacks,19.19888497325031,72.85692212956369,Snack Place
62,Akurli Nagar,19.1997,72.8589,Food Court,19.20320338590099,72.85980888853966,Food Court
63,Akurli Nagar,19.1997,72.8589,Cafe coffee day,19.19976024994609,72.85684135855988,Café
64,Akurli Nagar,19.1997,72.8589,McDonald's,19.203061631350003,72.86045019647757,Fast Food Restaurant
65,Akurli Nagar,19.1997,72.8589,Kandivali east ashok nagar captains fitness gym.,19.199387018864545,72.85672020200373,Gym
66,Akurli Nagar,19.1997,72.8589,Sports Authority of India,19.197799809524735,72.86094333766256,Playground
67,Akurli Nagar,19.1997,72.8589,Big Bazaar,19.20267954324759,72.86050077911567,Shopping Mall
68,Akurli Nagar,19.1997,72.8589,"Global Desi Tadka, Growells",19.20309015430902,72.86014717837175,Restaurant
69,Alika Nagar,19.198,72.8707,Baskin-Robbins,19.19707655501576,72.87251619807277,Ice Cream Shop
70,Alika Nagar,19.198,72.8707,Cafe Coffee Day,19.1981306506394,72.87170224538617,Coffee Shop
71,Alika Nagar,19.198,72.8707,Craftsvilla.com,19.19719296300929,72.87137970539274,Arts & Crafts Store
72,Alika Nagar,19.198,72.8707,A Taste Of India,19.196835159967467,72.87038166426672,Indian Restaurant
73,Alika Nagar,19.198,72.8707,Maushi's Cart,19.19776477726542,72.8718873779103,Food Truck
74,Alika Nagar,19.198,72.8707,Birdy's Cake Shop,19.197738004473038,72.87165661780725,Bakery
75,Alika Nagar,19.198,72.8707,Hari Mirch,19.196821169812807,72.8723604354327,Indian Restaurant
76,Alika Nagar,19.198,72.8707,Naturals,19.1974462745939,72.87313347865903,Ice Cream Shop
77,Alika Nagar,19.198,72.8707,Sandwizza,19.196291945995004,72.87261427079467,Sandwich Place
78,Alika Nagar,19.198,72.8707,Hang Out,19.196967644171593,72.87480070525672,Bakery
79,Alika Nagar,19.198,72.8707,Lokhandwala Cricket Ground,19.200698719832328,72.87436803510002,Soccer Field
80,Altamount Road,19.07609,72.877426,Delhi Zaika,19.077053790599823,72.87826023582745,Indian Restaurant
81,Altamount Road,19.07609,72.877426,Pizza Hut,19.0759837,72.8776559,Pizza Place
82,Altamount Road,19.07609,72.877426,Nawab Sheek Corner,19.07693329253323,72.87826039034451,Middle Eastern Restaurant
83,Altamount Road,19.07609,72.877426,Sahara Restaurant,19.07953178124444,72.88015220282865,Mughlai Restaurant
84,Altamount Road,19.07609,72.877426,Vigour gym,19.07598139540013,72.87765630884722,Gym
85,Altamount Road,19.07609,72.877426,J. J. Jalebi,19.076991,72.878418,Dessert Shop
86,Altamount Road,19.07609,72.877426,Sbarro,19.07598304748535,72.87765502929688,Italian Restaurant
87,Altamount Road,19.07609,72.877426,Montblanc Boutique,19.0759837,72.8776559,Accessories Store
88,Altamount Road,19.07609,72.877426,Mithi Nadi,19.07600537936254,72.87467955769098,River
89,Altamount Road,19.07609,72.877426,Sahara,19.079696271854093,72.88014844437195,Diner
90,Ambawadi,19.2411,72.86,Raju's Dosa,19.236807912286306,72.86130680081683,Food Truck
91,Ambawadi,19.2411,72.86,Cafe Coffee Day,19.241332114592574,72.8583644643876,Café
92,Ambawadi,19.2411,72.86,Pantaloons,19.239904928851914,72.85741829371118,Accessories Store
93,Ambawadi,19.2411,72.86,gokulananad Hotel,19.240046979262953,72.86449140703384,Breakfast Spot
94,Ambawadi,19.2411,72.86,Borivali Railway Station,19.236838781878607,72.86139446137742,Train Station
95,Ambedkar Nagar,19.073,72.8789,The Bar Stock Exchange,19.071165828845604,72.87635864580997,Bar
96,Ambedkar Nagar,19.073,72.8789,Delhi Zaika,19.077053790599823,72.87826023582745,Indian Restaurant
97,Ambedkar Nagar,19.073,72.8789,Pizza Hut,19.0759837,72.8776559,Pizza Place
98,Ambedkar Nagar,19.073,72.8789,Nawab Sheek Corner,19.07693329253323,72.87826039034451,Middle Eastern Restaurant
99,Ambedkar Nagar,19.073,72.8789,Poncho's,19.071206587458533,72.87649676479555,Burrito Place
100,Ambedkar Nagar,19.073,72.8789,Grapevine Gourmet Cuisine,19.070982863607238,72.87654868479758,Indian Restaurant
101,Ambedkar Nagar,19.073,72.8789,Vigour gym,19.07598139540013,72.87765630884722,Gym
102,Ambedkar Nagar,19.073,72.8789,Sbarro,19.07598304748535,72.87765502929688,Italian Restaurant
103,Ambedkar Nagar,19.073,72.8789,Montblanc Boutique,19.0759837,72.8776559,Accessories Store
104,Ambedkar Nagar,19.073,72.8789,Di Bella Coffee,19.070946,72.875999,Café
105,Ambedkar Nagar,19.073,72.8789,Workout Gym,19.06941525300555,72.88023497639301,Gym
106,Ambedkar Nagar,19.073,72.8789,J. J. Jalebi,19.076991,72.878418,Dessert Shop
107,Ambedkar Nagar,19.073,72.8789,Deluxe Restaurant,19.069874943305923,72.87572373233358,Asian Restaurant
108,Ambernath East,19.2075,73.1853,Shree Rath,19.20746346007429,73.18364006906141,Indian Restaurant
109,Ambernath East,19.2075,73.1853,Wok n roll,19.207252091059228,73.18350755921122,Chinese Restaurant
110,Ambernath East,19.2075,73.1853,Hotel Sibbu Palace,19.208366587323006,73.18482689294294,Indian Restaurant
111,Ambernath East,19.2075,73.1853,Baban Vada Pav Center,19.209381845018495,73.18565651369335,Fast Food Restaurant
112,Ambernath East,19.2075,73.1853,Platform No. 3 Ambarnath,19.209434571704872,73.18574666976929,Platform
113,Ambernath East,19.2075,73.1853,Ambernath east,19.210022116839976,73.18170426524925,Garden Center
114,Ambivali West,19.2686,73.1682,ambivli,19.267600283939586,73.17165625490877,Platform
115,Ambivli,19.2651,73.1724,vijaya hotel,19.264484405517578,73.17214965820312,Indian Restaurant
116,Ambivli,19.2651,73.1724,ambivli,19.267600283939586,73.17165625490877,Platform
117,Ambivli,19.2651,73.1724,ambivili,19.26866912841797,73.17318725585938,Platform
118,Ambivli,19.2651,73.1724,Axis Bank ATM,19.26208,73.16976,ATM
119,Ambivli,19.2651,73.1724,Axis Bank ATM,19.26177,73.16943,ATM
120,Amboli,19.1258,72.8448,Shawarma Factory,19.124590572173467,72.8403981304492,Falafel Restaurant
121,Amboli,19.1258,72.8448,Cafe Arfa,19.12893009094341,72.84714004510111,Indian Restaurant
122,Amboli,19.1258,72.8448,Subway,19.1278600430168,72.84446095143547,Sandwich Place
123,Amboli,19.1258,72.8448,Cafe Coffee Day,19.127748138225197,72.84466295105099,Coffee Shop
124,Amboli,19.1258,72.8448,Gelato Italiano,19.128120193094414,72.844154207953,Ice Cream Shop
125,Amrut Nagar,19.1021,72.9128,Urban Tadka,19.099458499841138,72.91621488465196,Indian Restaurant
126,Amrut Nagar,19.1021,72.9128,Starbucks,19.09994249735961,72.91640659960817,Coffee Shop
127,Amrut Nagar,19.1021,72.9128,Inox,19.099605479954676,72.91617311152032,Multiplex
128,Amrut Nagar,19.1021,72.9128,Zaffran,19.099894852548502,72.91646256434406,Afghan Restaurant
129,Amrut Nagar,19.1021,72.9128,The Pint Room,19.100208996410323,72.91631034862489,Brewery
130,Amrut Nagar,19.1021,72.9128,Decathlon R-City,19.099608550714212,72.91547332142528,Sporting Goods Shop
131,Amrut Nagar,19.1021,72.9128,Shvatra,19.099553116334707,72.91611662550383,Indian Restaurant
132,Amrut Nagar,19.1021,72.9128,Jammin,19.09948121124504,72.91616432876242,Bowling Alley
133,Amrut Nagar,19.1021,72.9128,Rainforest,19.09954176806568,72.91614826961302,Restaurant
134,Amrut Nagar,19.1021,72.9128,Moshe's,19.099936659517958,72.91637542594962,Mediterranean Restaurant
135,Amrut Nagar,19.1021,72.9128,Mc Cafe,19.099711258881687,72.91668526404682,Café
136,Amrut Nagar,19.1021,72.9128,Thank God It's Friday,19.099701446920285,72.91651090643886,American Restaurant
137,Amrut Nagar,19.1021,72.9128,iStore by Reliance Digital,19.09954089957674,72.91605707208984,Electronics Store
138,Amrut Nagar,19.1021,72.9128,McDonald's,19.100032523193008,72.91643988675929,Fast Food Restaurant
139,Amrut Nagar,19.1021,72.9128,Ice Cream Works,19.099805310812574,72.91647185072483,Ice Cream Shop
140,Amrut Nagar,19.1021,72.9128,Le Café,19.099783828039193,72.91646120222727,Café
141,Amrut Nagar,19.1021,72.9128,Rajdhani,19.09958707745065,72.91609060882485,Indian Restaurant
142,Amrut Nagar,19.1021,72.9128,Maroosh,19.099944025362944,72.91658144137342,Falafel Restaurant
143,Amrut Nagar,19.1021,72.9128,Five Fat Monks,19.099897824478212,72.91644509130464,Asian Restaurant
144,Amrut Nagar,19.1021,72.9128,Croma,19.09937689805476,72.91617433263892,Electronics Store
145,Amrut Nagar,19.1021,72.9128,Barista,19.0995618195609,72.9166045130825,Café
146,Amrut Nagar,19.1021,72.9128,Domino's Pizza,19.099,72.916,Pizza Place
147,Amrut Nagar,19.1021,72.9128,Subway,19.09964246821192,72.91594430636056,Sandwich Place
148,Amrut Nagar,19.1021,72.9128,Cafe Coffee day,19.09934899709255,72.9164770418396,Café
149,Amrut Nagar,19.1021,72.9128,Big bazar r city mall,19.102645765316222,72.91340329218586,Shopping Mall
150,Amrut Nagar,19.1021,72.9128,Sbarro,19.09945453215008,72.91664416756626,Italian Restaurant
151,Amrut Nagar,19.1021,72.9128,The Bowl House,19.099544605844986,72.91609098677266,Chinese Restaurant
152,Amrut Nagar,19.1021,72.9128,Balaji Pure Veg,19.099661631077883,72.91596952471878,Indian Restaurant
153,Amrut Nagar,19.1021,72.9128,Rain Forest Cafe,19.099509342027687,72.91612918988089,Restaurant
154,Amrut Nagar,19.1021,72.9128,Yoko Sizzlers,19.100115391205378,72.91630712876893,Steakhouse
155,Amrut Nagar,19.1021,72.9128,Puranmal,19.099690949484067,72.91626997308286,Indian Restaurant
156,Amrut Nagar,19.1021,72.9128,Wembley Bar,19.09990755168052,72.9159181287854,Restaurant
157,Amrut Nagar,19.1021,72.9128,Hamleys,19.09968767598681,72.91620075785212,Toy / Game Store
158,Amrut Nagar,19.1021,72.9128,Tibbs Frankie,19.099503379899087,72.91665642441984,Snack Place
159,Amrut Nagar,19.1021,72.9128,Westside,19.09959523409452,72.91672408611757,Clothing Store
160,Anand Nagar,19.2557,72.8656,Monginis cake shop,19.257120785583574,72.8649894787299,Bakery
161,Anand Nagar,19.2557,72.8656,Kamdar Chinese Center,19.253762309969986,72.86600869562531,Chinese Restaurant
162,Anand Nagar,19.2557,72.8656,Mahakali rasvanti griha,19.253724491424325,72.86466448225868,Juice Bar
163,Anand Nagar,19.2557,72.8656,Dahisar sports foundation,19.25427655246451,72.86284718622701,Playground
164,Anand Nagar,19.2557,72.8656,Kalash Restaurant ¤,19.254446920153665,72.86261064828008,Indian Restaurant
165,Anand Nagar,19.2557,72.8656,Hotel Payal,19.254821100088527,72.86952784546678,Food Court
166,Anand Nagar,19.2557,72.8656,Lotus Court,19.25238957563675,72.86317026207394,Diner
167,Anand Nagar,19.2557,72.8656,Amul Scooping Parlour,19.259982870381553,72.8657054901123,Ice Cream Shop
168,Anand Nagar,19.2557,72.8656,The Maharaja Business Hotel,19.25171631558875,72.86745097632526,Diner
169,Andheri (East),19.1179,72.8631,Gajalee Coastal Food Annexure,19.117567194128657,72.86748485224203,Seafood Restaurant
170,Andheri (East),19.1179,72.8631,Courtyard Mumbai International Airport,19.1141672,72.8641313,Hotel
171,Andheri (East),19.1179,72.8631,Hotel Tunga International,19.117857580329467,72.86515943512828,Hotel
172,Andheri (East),19.1179,72.8631,Sai Palace Hotel,19.115372776619047,72.8605712200513,Hotel
173,Andheri (East),19.1179,72.8631,Somethings Fishy Level 1,19.117869067878974,72.86513899619112,Seafood Restaurant
174,Andheri (East),19.1179,72.8631,Faaso's,19.113938442040993,72.86232968704125,Fast Food Restaurant
175,Andheri (East),19.1179,72.8631,Ganesh Palace Restaurant,19.119313256630917,72.86359770759731,Indian Restaurant
176,Andheri (East),19.1179,72.8631,MoMo Cafe,19.11368176337387,72.86411674564665,Restaurant
177,Andheri (East),19.1179,72.8631,Buckets And Tuckets,19.114375753655438,72.8616298787184,Fast Food Restaurant
178,Andheri (East),19.1179,72.8631,Hotel Tunga Veg Restaurant,19.117824764374035,72.86763558765276,Food
179,Andheri (West),19.1364,72.8296,Indigo Delicatessen,19.1364504468811,72.82756504045669,Mediterranean Restaurant
180,Andheri (West),19.1364,72.8296,Bistro 1 Cafe,19.136656435439225,72.82913638330596,Café
181,Andheri (West),19.1364,72.8296,Pishu's,19.136251794128736,72.82889762827182,Juice Bar
182,Andheri (West),19.1364,72.8296,015's Cafe,19.136214374842346,72.82723120789565,Lounge
183,Andheri (West),19.1364,72.8296,Lotus Court,19.135900764628452,72.83013273267079,Bar
184,Andheri (West),19.1364,72.8296,Indigo Deli,19.13642952061536,72.82755288854011,Italian Restaurant
185,Andheri (West),19.1364,72.8296,Doolally Taproom,19.13591735538127,72.83309403406167,Brewery
186,Andheri (West),19.1364,72.8296,Tanishq,19.1376113994677,72.83180050345361,Jewelry Store
187,Andheri (West),19.1364,72.8296,PVR ECX,19.138741368876946,72.83177743265958,Multiplex
188,Andheri (West),19.1364,72.8296,Shabri Veg Restaurant,19.13615756813534,72.8271702616078,Indian Restaurant
189,Andheri (West),19.1364,72.8296,Alfredos Bar & Diner,19.139471751527417,72.8315149191101,Diner
190,Andheri (West),19.1364,72.8296,Cinepolis (Fun Cinemas),19.13516689575096,72.83302036586855,Multiplex
191,Andheri (West),19.1364,72.8296,Glocal Junction,19.137994816505294,72.83274001442005,Lounge
192,Andheri (West),19.1364,72.8296,015's Café,19.1342081469728,72.82610027343061,Comfort Food Restaurant
193,Andheri (West),19.1364,72.8296,The Little Door,19.139264910758484,72.83317996821813,Pub
194,Andheri (West),19.1364,72.8296,Barbeque Nation,19.136210861270595,72.83345280721782,BBQ Joint
195,Andheri (West),19.1364,72.8296,Chocolateria San Churro,19.13939056995039,72.83161370626688,Dessert Shop
196,Andheri (West),19.1364,72.8296,Jaffer Bhai's Delhi Durbar,19.13622849912918,72.82847688862608,Indian Restaurant
197,Andheri (West),19.1364,72.8296,Independence Brewing Company,19.139157558650446,72.8325178843149,Brewery
198,Andheri (West),19.1364,72.8296,Fun Republic Social,19.135174076031458,72.83276778035169,Bar
199,Andheri (West),19.1364,72.8296,Some Like It Hot,19.134184319355917,72.82622144523094,Pub
200,Andheri (West),19.1364,72.8296,KFC,19.13526761679155,72.83293660965955,Fast Food Restaurant
201,Andheri (West),19.1364,72.8296,Alfredo,19.139408547974764,72.83162411830467,Pub
202,Andheri (West),19.1364,72.8296,Lemon Leaf,19.139779387111414,72.82936873216538,Asian Restaurant
203,Andheri (West),19.1364,72.8296,Pizzaroma Andheri,19.137667806685883,72.83120155334473,Pizza Place
204,Andheri (West),19.1364,72.8296,Carter's Blue,19.139599362001828,72.83160179473985,Indian Restaurant
205,Andheri (West),19.1364,72.8296,Red Ant Cafe,19.137359922332948,72.83182990274624,Pub
206,Andheri (West),19.1364,72.8296,China Gate,19.140098188844455,72.83153912383088,Chinese Restaurant
207,Andheri (West),19.1364,72.8296,Bora Bora,19.136949356619738,72.83253772336471,Pub
208,Andheri (West),19.1364,72.8296,Apicius,19.13697998958239,72.83311492833764,Italian Restaurant
209,Andheri (West),19.1364,72.8296,Clothes Rack,19.135697056186928,72.82746443968983,Clothing Store
